,A,AG,AL,AU,B,BB,BU,C,CF,CS,CU,FB,FG,FU,HC,I,IC,IF,IH,IM,J,JD,JM,JR,L,LR,M,MA,NI,OI,P,PB,PM,PP,RB,RI,RM,RS,RU,SF,SM,SN,SR,T,TA,TF,TT,V,WH,WR,Y,ZC,ZN,0
2010-02-24 00:00:00.005,461853057.0,0.0,798216670.0,2036537.7700000003,173236.0,0.0,0.0,35887183.0,1202404240.0,0.0,10353623110.0,0.0,0.0,135348137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658496025.0,0.0,1285309421.0,0.0,0.0,113887652.0,1085941740.0,0.0,0.0,0.0,2953976123.0,60357484.0,0.0,0.0,12520421290.0,0.0,0.0,0.0,9264874295.0,0.0,1136412164.0,0.0,0.0,115898655.0,5642675.0,2418097.0,1152846460.0,0.0,4141266450.0,47487290701.770004
2010-02-25 00:00:00.005,424681285.0,0.0,1034758385.0,3077687.95,67144.0,0.0,0.0,36126548.0,1310531770.0,0.0,12993960470.0,0.0,0.0,234364914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,931579885.0,0.0,1332189166.0,0.0,0.0,231089854.0,1368609486.0,0.0,0.0,0.0,3045040203.0,38519145.0,0.0,0.0,19206987325.0,0.0,0.0,0.0,12290516718.0,0.0,1531098732.0,0.0,0.0,115116020.0,6034023.0,6409787.0,1843638200.0,0.0,7057248610.0,65041645357.95
2010-02-26 00:00:00.005,367756718.0,0.0,779854565.0,4001310.2699999996,28238.0,0.0,0.0,50134985.0,2898776820.0,0.0,10288610460.0,0.0,0.0,139587688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599708530.0,0.0,871919421.0,0.0,0.0,142907834.0,1044808996.0,0.0,0.0,0.0,2500717389.0,61999388.0,0.0,0.0,17408207025.0,0.0,0.0,0.0,8720048200.0,0.0,1125678526.0,0.0,0.0,84334925.0,5130579.0,5932465.0,1187780710.0,0.0,5605500770.0,53893425542.270004
2010-03-01 00:00:00.005,858303447.0,0.0,876232100.0,2862085.1399999997,82700.0,0.0,0.0,60863702.0,1566249260.0,0.0,16764410350.0,0.0,0.0,96979548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625122260.0,0.0,1420906130.0,0.0,0.0,130063054.0,1202628916.0,0.0,0.0,0.0,2782278189.0,56338363.0,0.0,0.0,14684729095.0,0.0,0.0,0.0,7392413443.0,0.0,1262492082.0,0.0,0.0,118840415.0,3577882.0,3473983.0,1687122004.0,0.0,6007173660.0,57603142668.14
2010-03-02 00:00:00.005,872366670.0,0.0,691440380.0,3064426.95,339036.0,0.0,0.0,37795018.0,1056098280.0,0.0,12541184730.0,0.0,0.0,100933607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979338565.0,0.0,1045765807.0,0.0,0.0,858725366.0,1500569446.0,0.0,0.0,0.0,2910960432.0,38820940.0,0.0,0.0,16618151935.0,0.0,0.0,0.0,10504347125.0,0.0,1572943998.0,0.0,0.0,129572575.0,4658469.0,2991208.0,1731604204.0,0.0,5098205615.0,58299877832.95
2010-03-03 00:00:00.005,785685019.0,0.0,634033925.0,4067911.96,217233.0,0.0,0.0,26627684.0,2689258515.0,0.0,9926344140.0,0.0,0.0,76737090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835281070.0,0.0,882394574.0,0.0,0.0,433837758.0,1327032556.0,0.0,0.0,0.0,2495437334.0,48122766.0,0.0,0.0,13720059265.0,0.0,0.0,0.0,7904833277.0,0.0,1727276816.0,0.0,0.0,114548370.0,2631162.0,3189264.0,1683295610.0,0.0,5559955365.0,50880866704.96
2010-03-04 00:00:00.005,613986751.0,0.0,548620290.0,3859452.99,114890.0,0.0,0.0,46032781.0,2047082045.0,0.0,13659237080.0,0.0,0.0,282880265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1297990950.0,0.0,1460008009.0,0.0,0.0,267169984.0,1158216288.0,0.0,0.0,0.0,3122237264.0,45819735.0,0.0,0.0,18879848275.0,0.0,0.0,0.0,8571188985.0,0.0,1595292732.0,0.0,0.0,138643545.0,5452812.0,1862987.0,1639638486.0,0.0,6330622760.0,61715806366.99
2010-03-05 00:00:00.005,435111620.0,0.0,725085185.0,2465413.9099999997,310304.0,0.0,0.0,35448646.0,1089556310.0,0.0,11963125000.0,0.0,0.0,100765574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1048443970.0,0.0,1080168673.0,0.0,0.0,254548502.0,2183209248.0,0.0,0.0,0.0,2722421666.0,21580073.0,0.0,0.0,18433606655.0,0.0,0.0,0.0,9045491254.0,0.0,1214470192.0,0.0,0.0,100674695.0,3110154.0,2749758.0,1823304460.0,0.0,5998158855.0,58283806207.91
2010-03-08 00:00:00.005,424311848.0,0.0,1552521950.0,2963870.56,348507.0,0.0,0.0,28036698.0,2015823155.0,0.0,11068085900.0,0.0,0.0,154108452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888445545.0,0.0,925422315.0,0.0,0.0,180016220.0,1803824784.0,0.0,0.0,0.0,3103294531.0,19504918.0,0.0,0.0,16843192550.0,0.0,0.0,0.0,6320176141.0,0.0,1575157702.0,0.0,0.0,201027855.0,3898566.0,2023389.0,1799920782.0,0.0,6597377755.0,56509483433.56
2010-03-09 00:00:00.005,439966863.0,0.0,748918935.0,2933422.84,223891.0,0.0,0.0,29481543.0,4554358460.0,0.0,9723968110.0,0.0,0.0,99408169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1198421640.0,0.0,1096457039.0,0.0,0.0,355010214.0,2864444344.0,0.0,0.0,0.0,3211344877.0,32176621.0,0.0,0.0,19774151780.0,0.0,0.0,0.0,7346324286.0,0.0,1186928024.0,0.0,0.0,97885215.0,3028894.0,1284356.0,2294457130.0,0.0,6329154250.0,61390328063.84
